		    Tasters
Tastings Wines	1 2 3 4 5 6 7 8 9 10 11
Chardonnay A 10 18 3 14 16.5 18.5 17 14 14 16.5 17
	   B 15 15 12 16 16 15 14 11 13 16 14.5
	   C 16 10 16 15 12 11 13 14 16 14 13
	   D 10 13 10 16 10 15 12 10 13 9 12
	   E 13 12 4 13 13 10 12 15 9 15 12
	   F 8 13 10 11 9 9 12 15 14 7 12
	   G 11 10 5 15 8 8 12 14 13 9 12
	   H 5 15 4 7 16 14 14.5 7 12 6 14.5
	   I 6 12 7 12 5 16 10 10 14 8 10
	   J 0 8 2 11 1 4 7 10 8 5 7
Cabernet A 14 15 10 14 15 16 14 14 13 16.5 14
	 B 16 14 15 15 12 16 12 14 11 16 14
	 C 12 16 11 14 12 17 14 14 14 11 15
	 D 17 15 12 12 12 13.5 10 8 14 17 15
	 E 13 9 12 16 7 7 12 14 17 15.5 11
	 F 10 10 10 14 12 11 12 12 12 8 12
	 G 12 7 11.5 17 2 8 10 13 15 10 9
	 H 14 5 11 13 2 9 10 11 13 16.5 7
	 I 5 12 8 9 13 9.5 14 9 12 3 13
	 J 7 7 15 15 5 9 8 13 14 6 7
