1,0.81,80,356,124,55
2,0.95,97,289,117,76
3,0.94,105,319,143,105
4,1.04,90,356,199,108
5,1,90,323,240,143
6,0.76,86,381,157,165
7,0.91,100,350,221,119
8,1.1,85,301,186,105
9,0.99,97,379,142,98
10,0.78,97,296,131,94
11,0.9,91,353,221,53
12,0.73,87,306,178,66
13,0.96,78,290,136,142
14,0.84,90,371,200,93
15,0.74,86,312,208,68
16,0.98,80,393,202,102
17,1.1,90,364,152,76
18,0.85,99,359,185,37
19,0.83,85,296,116,60
20,0.93,90,345,123,50
21,0.95,90,378,136,47
22,0.74,88,304,134,50
23,0.95,95,347,184,91
24,0.97,90,327,192,124
25,0.72,92,386,279,74
